"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C32H56O12","protein","aliphatic","aliphatic",-0.0385,-1,1.75,0.38,-7,5,-0.2188
"C33H60O11","protein","aliphatic","aliphatic",-0.0545,-1.1515,1.82,0.33,-7,4,-0.2121
"C35H68O7S1","lipid","aliphatic","aliphatic",-0.082,-1.4857,1.94,0.2,-6,2,-0.1714
"C37H72O5","lipid","aliphatic","aliphatic",-0.0145,-1.6757,1.95,0.14,-3,2,-0.0811
"C26H18O19","condensed_hydrocarbon","aromatic","aromatic",0.5152,0.7692,0.69,0.73,-1,18,-0.0385
"C31H22O15","condensed_hydrocarbon","aromatic","aromatic",0.5745,0.2581,0.71,0.48,6,21,0.1935
"C32H26O14","lignin","aromatic","aromatic",0.52,0.0625,0.81,0.44,6,20,0.1875
"C30H34O15","lignin","unsaturated/lignin","unsaturated/lignin",0.2889,-0.1333,1.13,0.5,-1,14,-0.0333
"C27H38O17","lignin","unsaturated/lignin","unsaturated/lignin",0.027,-0.1481,1.41,0.63,-8,9,-0.2963
"C31H38O14","lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.3226,1.23,0.45,-1,13,-0.0323
"C28H42O14S1","protein","aliphatic","aliphatic",0,-0.4286,1.5,0.5,-7,8,-0.25
"C32H42O13","lignin","unsaturated/lignin","unsaturated/lignin",0.2157,-0.5,1.31,0.41,-1,12,-0.0312
"C29H46O13S1","protein","aliphatic","aliphatic",-0.0233,-0.6207,1.59,0.45,-7,7,-0.2414
"C29H46O15","protein","aliphatic","aliphatic",-0.0233,-0.5517,1.59,0.52,-8,7,-0.2759
"C33H46O12","lignin","unsaturated/lignin","unsaturated/lignin",0.1852,-0.6667,1.39,0.36,-1,11,-0.0303
"C30H50O12S1","protein","aliphatic","aliphatic",-0.0435,-0.8,1.67,0.4,-7,6,-0.2333
"C30H50O14","protein","aliphatic","aliphatic",-0.0435,-0.7333,1.67,0.47,-8,6,-0.2667
"C34H50O11","lignin","unsaturated/lignin","unsaturated/lignin",0.1579,-0.8235,1.47,0.32,-1,10,-0.0294
"C31H54O11S1","protein","aliphatic","aliphatic",-0.0612,-0.9677,1.74,0.35,-7,5,-0.2258
"C35H54O10","lipid","aliphatic","aliphatic",0.1333,-0.9714,1.54,0.29,-1,9,-0.0286
"C32H58O10S1","protein","aliphatic","aliphatic",-0.0769,-1.125,1.81,0.31,-7,4,-0.2188
"C27H24O18","tannin","unsaturated/lignin","unsaturated/lignin",0.3889,0.4444,0.89,0.67,-2,16,-0.0741
"C31H24O15","condensed_hydrocarbon","aromatic","aromatic",0.5319,0.1935,0.77,0.48,5,20,0.1613
"C28H28O17","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,0.2143,1,0.61,-2,15,-0.0714
"C29H32O16","lignin","unsaturated/lignin","unsaturated/lignin",0.2857,0,1.1,0.55,-2,14,-0.069
"C26H36O16S1","lignin","unsaturated/lignin","unsaturated/lignin",0,-0.0769,1.38,0.62,-8,9,-0.3077
"C31H36O10S1","lignin","unsaturated/lignin","unsaturated/lignin",0.32,-0.4516,1.16,0.32,3,14,0.0968
