"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C26H40O4","lipid","aliphatic","aliphatic",0.2083,-1.2308,1.54,0.15,3,7,0.1154
"C23H44O6","lipid","aliphatic","aliphatic",-0.05,-1.3913,1.91,0.26,-4,2,-0.1739
"C27H44O3","lipid","aliphatic","aliphatic",0.1765,-1.4074,1.63,0.11,3,6,0.1111
"C25H48O2","lipid","aliphatic","aliphatic",0.0417,-1.76,1.92,0.08,0,2,0
"C24H48O5","lipid","aliphatic","lipid",-0.0698,-1.5833,2,0.21,-4,1,-0.1667
"C20H31O6N1","protein","aliphatic","aliphatic+N",0.125,-0.8,1.55,0.3,-1,6,-0.05
"C21H35O5N1","lipid","aliphatic","aliphatic+N",0.0857,-1.0476,1.67,0.24,-1,5,-0.0476
"C24H47O2N1","lipid","aliphatic","aliphatic+N",0,-1.6667,1.96,0.08,-1,2,-0.0417
"C25H51O1N1","lipid","aliphatic","lipid",-0.0213,-1.84,2.04,0.04,-1,1,-0.04
"C20H18O10","lignin","unsaturated/lignin","unsaturated/lignin",0.4667,0.1,0.9,0.5,2,12,0.1
"C24H18O7","condensed_hydrocarbon","aromatic","aromatic",0.6098,-0.1667,0.75,0.29,9,16,0.375
"C21H22O9","lignin","unsaturated/lignin","unsaturated/lignin",0.3939,-0.1905,1.05,0.43,2,11,0.0952
"C22H26O8","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4545,1.18,0.36,2,10,0.0909
"C24H30O4","lignin","unsaturated/lignin","unsaturated/lignin",0.3636,-0.9167,1.25,0.17,6,10,0.25
"C23H30O7","lignin","unsaturated/lignin","unsaturated/lignin",0.2821,-0.6957,1.3,0.3,2,9,0.087
"C24H34O4S1","lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-1,1.42,0.17,3,8,0.125
"C20H34O9","protein","aliphatic","aliphatic",-0.0323,-0.8,1.7,0.45,-5,4,-0.25
"C24H34O6","lignin","unsaturated/lignin","unsaturated/lignin",0.2381,-0.9167,1.42,0.25,2,8,0.0833
"C21H38O8","protein","aliphatic","aliphatic",-0.0588,-1.0476,1.81,0.38,-5,3,-0.2381
"C26H38O2","unsaturated_hydrocarbon","unsaturated/lignin","unsaturated/lignin",0.28,-1.3077,1.46,0.08,6,8,0.2308
"C25H38O5","lipid","aliphatic","aliphatic",0.2,-1.12,1.52,0.2,2,7,0.08
"C22H42O7","protein","aliphatic","aliphatic",-0.0811,-1.2727,1.91,0.32,-5,2,-0.2273
"C26H42O4","lipid","aliphatic","aliphatic",0.1667,-1.3077,1.62,0.15,2,6,0.0769
"C23H46O6","lipid","aliphatic","lipid",-0.1,-1.4783,2,0.26,-5,1,-0.2174
"C27H46O3","lipid","aliphatic","aliphatic",0.1373,-1.4815,1.7,0.11,2,5,0.0741
"C26H54O1","lipid","aliphatic","lipid",-0.0196,-2,2.08,0.04,-1,0,-0.0385
"C29H54O1","lipid","aliphatic","aliphatic",0.0877,-1.7931,1.86,0.03,2,3,0.069
"C22H41O4N1","lipid","aliphatic","aliphatic+N",0,-1.3636,1.86,0.18,-2,3,-0.0909
"C23H45O3N1","lipid","aliphatic","aliphatic+N",-0.0244,-1.5652,1.96,0.13,-2,2,-0.087
"C24H49O2N1","lipid","aliphatic","lipid",-0.0455,-1.75,2.04,0.08,-2,1,-0.0833
"C17H20O10","lignin","unsaturated/lignin","unsaturated/lignin",0.25,0,1.18,0.59,-2,8,-0.1176
"C23H16O8","condensed_hydrocarbon","aromatic","aromatic",0.6316,0,0.7,0.35,8,16,0.3478
"C18H24O9","lignin","unsaturated/lignin","unsaturated/lignin",0.1852,-0.3333,1.33,0.5,-2,7,-0.1111
"C21H24O9","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2857,1.14,0.43,1,10,0.0476
"C25H24O6","lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.48,0.96,0.24,8,14,0.32
"C22H28O8","lignin","unsaturated/lignin","unsaturated/lignin",0.2778,-0.5455,1.27,0.36,1,9,0.0455
"C24H32O4","lignin","unsaturated/lignin","unsaturated/lignin",0.3182,-1,1.33,0.17,5,9,0.2083
"C23H32O7","lignin","unsaturated/lignin","unsaturated/lignin",0.2308,-0.7826,1.39,0.3,1,8,0.0435
"C24H36O6","lipid","aliphatic","aliphatic",0.1905,-1,1.5,0.25,1,7,0.0417
